Rank,Grade,Channel name,Video Uploads,Subscribers,Video views,AVERGE VIEW
1,5,Zee TV,82757,18752951,20869786591,252181.52652947788
2,5,T-Series,12661,61196302,47548839843,3755535.885238133
3,5,Cocomelon - Nursery Rhymes,373,19238251,9793305082,26255509.60321716
4,5,SET India,27323,31180559,22675948293,829921.6152325879
5,5,WWE,36756,32852346,26273668433,714813.0491076286
6,5,Movieclips,30243,17149705,16618094724,549485.6569784743
7,5,netd müzik,8500,11373567,23898730764,2811615.384
8,5,ABS-CBN Entertainment,100147,12149206,17202609850,171773.59132075848
9,5,Ryan ToysReview,1140,16082927,24518098041,21507103.544736844
10,5,Zee Marathi,74607,2841811,2591830307,34739.77384159663
11,4,5-Minute Crafts,2085,33492951,8587520379,4118714.8100719424
12,4,Canal KondZilla,822,39409726,19291034467,23468411.76034063
13,4,Like Nastya Vlog,150,7662886,2540099931,16933999.54
14,4,Ozuna,50,18824912,8727783225,174555664.5
15,4,Wave Music,16119,15899764,10989179147,681753.1575780135
16,4,Ch3Thailand,49239,11569723,9388600275,190674.06476573448
17,4,WORLDSTARHIPHOP,4778,15830098,11102158475,2323599.513394726
19,4,Badabun,3060,23603062,5860444053,1915177.7950980393
20,4,WorkpointOfficial,24287,17687229,14022189654,577353.7140857249
21,4,xxxtentacion,48,11593509,2029279311,42276652.3125
22,4,Zee Music Company,3403,23440427,11666909155,3428418.793711431
23,4,SAB TV,19358,11347420,9572788450,494513.2994110962
24,4,DeadloxMC,1833,2137907,245437560,133899.37806873978
25,4,ETV Andhra Pradesh,186194,712562,349096736,1874.9086221897592
26,4,Shemaroo Filmi Gaane,5076,14469618,6585569190,1297393.4574468085
27,4,ibighit,277,16924523,3437613314,12410156.368231047
28,4,El Reino Infantil,555,15836366,16395683234,29541771.592792794
29,4,Zee Telugu,92250,2902714,2754482753,29858.891631436316
30,4,Kirin AMV's,230,459906,224608044,976556.7130434783
31,4,Zee Bangla,79497,3102246,2867901827,36075.59816093689
32,4,Stacy Toys,91,5992452,1576070985,17319461.373626374
33,4,Toys and Colors,127,4746069,2250065105,17717048.07086614
34,4,InfantiLandia,710,7504480,2135402141,3007608.6492957748
35,4,Top Breaking News,848,1120620,291002673,343163.52948113205
